Dates,0,1,2,3,4
1981/1/31,-0.004037561,0.00381037,0.015907225,0.000536137,0.005965344
1981/2/28,-0.002203918,0.000827536,-0.008099657,0.007337958,0.004947729
1981/3/31,-0.000948203,-0.000725887,0.022868342,0.014515216,-0.001182754
1981/4/30,0.003099109,0.001233917,0.014870477,0.007153888,9.03E-07
1981/5/31,-0.001445798,-0.001434766,0.000905683,0.006967175,0.001503897
1981/6/30,-0.003259812,0.00301324,0.000730483,-0.000631155,0.006477796
1981/7/31,-0.000673065,-0.003077713,-0.02962527,-0.004979898,0.012912646
1981/8/31,0.002298601,0.00216588,-0.043244836,-0.00036839,0.012743594
1981/9/30,0.000167322,-0.000163935,-0.052589256,-0.001136031,0.018566829
1981/10/31,0.001807429,-0.006700589,0.007724812,0.001126202,0.007755596
1981/11/30,-0.004473567,-0.000413547,-0.00447072,0.00432254,0.006849986
1981/12/31,-0.000953156,0.001665231,-0.008670482,-5.00E-05,0.006142065
1982/1/31,0.00350868,0.000644162,-0.000110587,-0.001773509,0.007199714
1982/2/28,-1.48E-05,0.003043446,-0.01885608,0.00449598,0.005124816
1982/3/31,-0.004329192,0.000443311,-0.008046282,9.88E-05,0.009905901
1982/4/30,0.001350753,0.00252196,0.032077839,0.009757744,0.001793993
1982/5/31,-0.001317587,0.002527767,-0.012934189,0.002694306,0.011771379
1982/6/30,-0.000827303,0.002010018,-0.014644362,0.002356549,0.006493286
1982/7/31,-0.003012105,0.000706791,-0.008660131,-0.000856092,0.008818441
1982/8/31,-0.00057574,-0.005014338,0.010242846,0.003456204,0.001080537
1982/9/30,-0.001687654,0.001942272,0.020348451,0.00251154,0.003885007
1982/10/31,-0.002909549,-0.00714667,0.038070758,0.006035436,-0.002972443
1982/11/30,0.003722215,-0.007406421,0.023617512,-0.004119948,0.00243877
1982/12/31,-0.001756283,0.002980399,0.020789842,0.002755083,0.007240282
1983/1/31,0.00326652,0.001331454,0.074921758,0.00408575,-0.000608527
1983/2/28,-0.001440246,0.003399153,0.050480057,0.003036867,0.001694827
1983/3/31,-0.002678774,0.002226827,0.032799661,0.001866523,0.006736313
1983/4/30,0.00609633,-0.002857523,0.025243035,0.003039618,0.002790051
1983/5/31,-0.003427303,0.002204407,0.061595113,0.003025383,0.003064658
1983/6/30,0.003482424,0.00294856,0.039186263,0.006469441,0.00203651
1983/7/31,-0.003605345,0.003348889,-0.00294361,0.001219181,0.008849924
1983/8/31,-0.002385928,0.000593256,-0.018027673,0.00150787,0.010908029
1983/9/30,-0.002147123,0.00028486,-0.005843591,0.003845075,0.007055625
1983/10/31,0.000781575,0.004660405,-0.018615236,0.004127689,0.008520858
1983/11/30,-0.003069022,-0.002899111,0.009449762,0.001490657,0.009330903
1983/12/31,-0.002840626,0.001651465,-0.007886398,0.002973198,0.008543906
1984/1/31,-0.002772297,0.001806253,0.011515359,-0.001369544,0.008885893
1984/2/29,-0.00098027,0.000185875,-0.034256186,-0.001036055,0.016227437
