Dates,0,1,2,3,4
2001/1/31,0.000992147,0.16042375,0.012230482,-0.008692219,0.021168199
2001/2/28,0.000289686,-0.035766444,0.021340407,0.006200705,0.001870471
2001/3/31,0.000113204,-0.055947116,0.005183643,0.016442444,0.000534806
2001/4/30,-0.000371668,0.039327476,-0.003710167,0.00867655,0.011935178
2001/5/31,-0.000492216,0.010796551,0.006548598,0.025381801,0.005195451
2001/6/30,0.000173812,-0.014370227,0.002498456,0.010885147,0.003381053
2001/7/31,-5.00E-05,-0.016078916,0.008407998,0.004093702,0.001805766
2001/8/31,0.000464923,-0.03922505,0.004739118,0.011272578,0.006252525
2001/9/30,-0.000273297,-0.044359512,0.006592814,-0.00076581,0.010624703
2001/10/31,-0.000368118,0.05786357,0.000122314,0.000895833,0.012953077
2001/11/30,0.000179154,0.043346419,-0.012011798,-0.001239815,0.011496962
2001/12/31,-0.000239012,0.026434869,-0.000196349,0.008940676,0.005367616
2002/1/31,3.69E-05,0.008659923,-0.005653183,0.006462237,0.006200607
2002/2/28,-0.000161106,-0.030880602,0.001636192,0.011646066,-1.86E-05
2002/3/31,0.000449976,0.021441852,-0.002686132,0.003715462,0.000370488
2002/4/30,0.000896097,-0.02982851,-0.005654449,0.00720237,0.005521195
2002/5/31,-0.000663692,0.001109555,-0.00064561,-0.001087419,0.005964123
2002/6/30,0.000716344,-0.057742195,0.004127804,0.00776239,0.004828473
2002/7/31,-0.000469604,-0.008737754,0.005614111,-0.018059322,0.013955383
2002/8/31,-0.000310133,0.014972547,0.000946771,0.007795514,0.01159813
2002/9/30,-1.88E-05,-0.036129966,0.003929638,-0.002542926,0.003887614
2002/10/31,-0.000100942,0.034335744,0.005056046,0.007302007,0.004479702
2002/11/30,0.000878401,0.07185643,0.01336164,0.007627547,0.000176023
2002/12/31,-0.000472915,-0.023685226,0.007642381,0.008049962,0.001678769
2003/1/31,-5.50E-05,0.01567783,0.001031814,-0.005258035,0.004187668
2003/2/28,-0.00017784,-0.00325457,-0.001165779,-0.005170294,0.004594126
2003/3/31,-0.000118604,0.001540134,0.001320757,0.010686309,0.006026988
2003/4/30,0.001092581,0.032357529,-0.001768052,0.004004125,0.004240083
2003/5/31,9.37E-05,0.052550407,-0.00065039,0.034155999,0.005174125
2003/6/30,-0.000425206,0.029814862,0.002150994,0.010957463,0.005042277
2003/7/31,0.000543152,0.017746778,-0.008204135,0.002725297,0.00440719
2003/8/31,-0.000278011,0.029424748,-0.011359657,-0.003720384,0.004701893
2003/9/30,-0.00019215,0.013875852,0.003163208,0.01303933,0.004988695
2003/10/31,0.000312008,0.033857126,-0.008764639,-0.004043847,0.00089635
2003/11/30,0.000264144,0.008694546,-0.00436693,0.001721278,0.00253929
2003/12/31,-0.000588451,0.01673857,0.002484622,0.013161809,0.000764496
2004/1/31,-0.000328262,0.034329386,-0.004929528,0.009860228,0.00061897
2004/2/29,8.27E-05,-0.01610241,0.002513831,0.013069106,-6.37E-05
