date,q5mkt,q5me,q5ia,q5roe,q5eg
197201,2.4876,6.705,0.1588,-6.5071,1.966
197202,2.8485,0.459,1.993,1.0478,-0.347
197203,0.6398,-1.0197,1.8392,2.1095,1.597
197204,0.2728,0.2422,0.2396,0.7439,0.2792
197205,1.2622,-2.5367,-1.502,2.069,1.2874
197206,-2.4172,0.4274,0.0268,3.5905,1.5513
197207,-0.8379,-1.9759,-0.3928,2.1012,3.2058
197208,3.2486,-3.5252,3.5408,-1.5054,0.5063
197209,-1.1495,-1.0696,-1.1251,2.1088,0.4612
197210,0.5271,-3.1006,-0.5007,-0.4427,0.6599
197211,4.5932,-0.9835,2.5964,-4.1062,0.6969
197212,0.5727,-1.7774,-1.3503,3.1279,1.8048
197301,-3.2918,-2.3772,0.3555,-0.3811,3.3322
197302,-4.8635,-4.4782,0.1066,-1.0371,1.522
197303,-1.3432,-1.6855,0.5066,-1.9078,3.21
197304,-5.6576,-2.9136,3.1132,-0.5363,4.0693
197305,-2.9549,-5.6948,-0.4114,1.6027,1.5846
197306,-1.59,-1.2209,0.4364,-0.1103,2.8658
197307,5.0256,7.9616,-5.7477,1.1376,-4.2331
197308,-3.8069,-1.9392,1.6985,1.4899,1.4525
197309,4.7527,5.7352,2.1956,-1.3047,-1.5413
197310,-0.8621,-1.2115,2.6182,0.4903,4.0646
197311,-12.7439,-7.4553,1.9573,-1.1296,2.074
197312,0.6667,-4.5308,2.5183,3.6506,4.6139
197401,-0.1624,11.5564,2.1051,-4.8138,-0.5604
197402,-0.4736,-0.5191,2.1209,-1.0446,1.4503
197403,-2.8245,1.8373,-0.0555,1.8113,1.1626
197404,-5.331,-0.4765,2.3752,2.2129,2.5414
197405,-4.6599,-4.0947,-0.3302,2.2782,0.2895
197406,-2.9154,0.2691,1.5998,1.5496,2.1438
197407,-8.0181,3.5437,4.4292,2.5567,5.6777
197408,-9.3439,2.2185,3.1493,2.9559,4.8505
197409,-11.7639,2.0304,4.8696,-2.2994,3.3901
197410,16.0666,-5.9413,-1.5064,8.8862,1.0374
197411,-4.4797,-0.8166,2.5432,1.7201,1.3758
197412,-3.4488,-3.8364,2.1589,0.4744,2.046
197501,13.7056,12.447,-0.5177,-11.6181,-5.404
197502,5.557,-1.3808,-1.6716,3.6046,0.6132
197503,2.6678,3.3168,-0.6366,-1.7338,-1.7983
197504,4.2101,-1.3681,-0.0429,3.3684,2.3097
197505,5.141,3.2742,-0.1207,-0.2673,-0.0167
197506,4.8545,1.6189,0.3474,-1.5818,-0.6513
197507,-6.5874,2.9693,1.4388,-1.3503,1.7009
197508,-2.8504,-3.2098,-0.1799,0.6885,1.3638
197509,-4.291,0.6336,1.3519,1.6797,3.3382
197510,5.3413,-4.4872,3.0056,2.6814,2.567
197511,2.6414,-0.4781,1.5715,0.6636,1.5634
197512,-1.6279,0.2829,-0.0397,-2.2506,0.4767
197601,12.1728,6.7749,1.4885,-2.6663,0.8707
197602,0.3125,6.9275,2.1577,-3.7503,0.8706
197603,2.285,-0.4217,1.7157,2.4346,1.6181
197604,-1.5107,-0.5645,-0.7475,-0.3256,0.0357
197605,-1.3767,-1.2464,-0.9763,0.5098,0.3295
197606,4.0397,0.0617,1.3378,-0.0551,0.9442
197607,-1.0325,1.1703,0.9278,0.7571,1.6276
197608,-0.6094,-2.0631,-0.618,-0.0043,0.5722
197609,2.1069,-0.2294,-1.4035,1.1188,0.9964
197610,-2.4233,0.711,-1.1201,0.3243,-0.4868
197611,0.309,3.4568,-0.2689,-0.4753,0.1493
197612,5.6964,3.3012,1.8221,-1.1085,1.0763
197701,-4.0293,6.018,0.99,-2.1441,1.6761
197702,-1.9367,1.0765,0.1256,1.2463,0.4082
197703,-1.3687,1.4446,-0.1641,0.3317,-0.3667
197704,0.114,1.2502,1.2008,0.394,0.7442
197705,-1.4659,1.4996,0.2077,1.7533,2.7093
197706,4.739,3.0932,-0.7021,2.3262,2.9305
197707,-1.6568,1.0074,1.0332,1.7145,2.3918
197708,-1.8072,-0.2586,-0.9021,1.3871,-0.0814
197709,-0.2699,1.4255,-0.0303,1.387,1.5197
197710,-4.3844,1.4066,-0.5693,-1.0036,1.1235
197711,3.999,4.5653,1.232,2.5707,1.4899
197712,0.2831,1.4645,0.0767,1.2335,1.8089
197801,-6.0475,2.2856,0.9892,-1.6999,0.2845
197802,-1.4121,4.0873,1.3223,0.0683,1.67
197803,2.8714,3.3652,2.5273,0.0172,0.143
197804,7.826,-0.0824,-0.3498,5.5164,0.556
197805,1.7363,3.6659,0.9017,0.5084,0.5451
197806,-1.6883,1.4101,0.4806,1.4368,1.2015
197807,5.102,0.1973,0.2897,1.8154,2.6592
197808,3.7437,4.7011,1.1571,1.9141,0.6506
197809,-1.4063,-0.7308,0.2503,-3.5431,-0.844
197810,-11.9729,-10.9771,0.6056,-1.1491,0.9919
197811,2.7186,4.0453,-1.0503,1.2959,1.5463
197812,0.9239,0.4939,-1.0899,2.6744,2.4851
197901,4.2092,4.2959,1.6757,-1.2149,-1.3198
197902,-3.5587,0.3742,-0.4869,-2.391,0.471
197903,5.5859,3.8601,0.7803,2.3604,0.5342
