,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,0.44,0.97,-0.64,-0.19,0.45,0.5,0.03,-0.21,-1.94,-2.08
196308,6.5,8.18,4.6,5.23,3.59,4.74,6.72,6.92,5.95,6.54
196309,-0.74,-0.34,-0.31,0.69,-2.71,-2.62,-1.93,-2.77,-1.88,0.91
196310,14.4,5.1,4.22,2.81,0.44,2.56,3.3,3.75,0.87,0.67
196311,-5.96,-0.86,-0.39,2.05,-0.8,-0.81,-0.88,-0.02,0.16,-0.94
196312,-0.32,2.35,4.03,1.41,2.76,5.9,3.99,-0.34,-0.59,-0.27
196401,2.19,0.68,3.84,3.7,3.23,3.33,2.59,2.51,-0.35,1.75
196402,0.73,3.61,4.14,1.14,2.22,0.35,2.4,2.21,3.92,1.92
196403,1.77,3.34,3.94,1.32,1.88,2.08,2.18,0.19,6.17,-0.68
196404,2.93,-0.46,-0.65,0.05,3.2,0.61,0.62,-2.96,-0.95,0.45
196405,2.63,4.03,3.02,0.96,0.75,1.21,1.68,-0.54,-0.63,3.73
196406,1.76,2.08,-0.29,2.78,1.76,0.45,1.22,1.63,2.36,2.29
196407,2.74,2.88,-0.81,2.46,2.01,-0.84,4.62,2.57,-0.36,1.9
196408,1.51,-1,-1.42,-1,-1.99,-3.44,0.4,-1.47,-1.5,-0.6
196409,4.74,3.76,1.3,3.4,3.03,1.43,4.24,2.51,6.21,4.19
196410,0.27,1.46,0.19,-0.22,3.94,-1.09,0.7,0.63,-1.31,1.26
196411,2.07,-0.12,-1.4,2.86,1.53,-0.75,-1.12,0.39,-1.48,2.09
196412,0.59,-1.13,1.48,-1.32,0.16,0.09,1.37,0.03,0.53,2.36
196501,2.44,4.79,2.25,5.07,-0.14,6.46,4.22,6.36,7.29,4.43
196502,2.97,3.03,0.85,1.08,-2.47,2.33,0.15,0.71,5.34,0.81
196503,-1.31,-0.41,-1.49,-1.61,-2.54,-0.49,0,-0.28,-2.36,-2.24
196504,5.39,2.51,4.08,2.2,1.69,5.22,5.78,3.3,6.68,5.36
196505,-1.32,0.58,1.67,0.41,-0.45,-1.43,-2.77,-0.8,1.18,1.61
196506,-6.88,-6.3,-3.59,-5.75,-2.46,-4.99,-6.6,-5.84,-6.46,-6.06
196507,3.9,2.88,3.49,0.56,1.93,2.36,0.6,2.61,1.91,-0.46
196508,3.47,5.3,7.53,1.85,1.39,3.06,3.42,3.9,5.28,2.87
196509,3.7,1.87,3.17,2.83,4.44,5.18,3.64,5.2,3.42,-0.21
196510,7.46,4.6,5.23,1.45,1.98,1.48,5.92,5.69,4.34,1.05
