,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
195107,5.85,8.02,3.69,8.32,8.34,9.74,6.41,9.95,8.8,8.54
195108,2.84,3.79,4.16,6.37,4.99,7.29,5.34,6.32,7.72,6.94
195109,-2.17,3.33,0.26,0.34,3.8,-2.72,2.09,-2.45,1.5,0.88
195110,-5.91,-4.77,-2.41,-4.19,-2.91,2.76,-2.12,1.17,-3.68,-1.96
195111,-0.64,1.94,0.48,0.63,1.28,0.58,1.18,-0.28,0,0.56
195112,6.88,2.54,2.41,3.62,1.94,6.17,3.89,2.28,2.93,2.51
195201,-2.61,2.82,-0.2,2.11,1.73,4.07,1.05,8,0.63,2.98
195202,-2.31,-4.78,-2.28,-3.5,-3.11,-4.83,-1.02,-5.05,-3.97,-4.33
195203,2.51,0.96,1.4,6.49,2.39,5.98,9.4,7.85,6.22,4.79
195204,-5.53,-4.94,-2.2,-5.39,-4.78,-5.96,-6.52,-7.39,-7.09,-7.49
195205,4.69,2.63,1.79,4.11,3.16,3.53,3.9,4.57,3,2.13
195206,3.74,2.59,3.05,5.24,2.79,6.5,5.65,2.01,6.72,6.59
195207,1.11,1.25,1.7,1.88,0.22,1.39,1.5,-1.25,-0.02,2.38
195208,-1.27,-0.29,1.28,0.12,-0.61,-0.06,-2.43,-1.94,-0.13,-2.42
195209,-2.31,-0.91,-0.32,-0.86,-2.29,-1.08,-3.31,-4.5,-2.83,-3.06
195210,-1.19,-0.54,0.54,-2.68,0.34,-0.99,-0.17,0.67,-0.65,0.74
195211,9.43,7.14,5.95,6.16,3.14,6.14,5.11,2.75,6.55,8.33
195212,1.53,2.71,3.57,2.25,3.82,3.4,3.66,3.51,2.13,4.05
195301,0.2,-0.77,0.11,0.5,-1.6,0.1,-2.59,-1.98,0.6,1.34
195302,-1.1,0.65,-0.41,0.11,-0.85,0.39,0.4,0.67,0.22,-0.51
195303,-0.36,-0.15,-2.7,0.11,-1.75,0.16,-1.99,-1.23,-2.18,-2.51
195304,-2.51,-1.37,-1.44,-2.53,-4.55,-3.62,-4.39,-3.58,-2.2,-0.13
195305,0.74,0.79,0.26,-0.18,2.33,-0.24,1.08,1.28,1.06,-0.36
