,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
195107,5.21,7.34,8.96,7.44,9.41,9.67,7.09,4.5,9.84,8.16
195108,2.55,3.95,7.73,5.9,4.83,6.09,5.05,6.95,5.74,6.41
195109,-1.22,1.47,0.8,1.67,-0.01,-2.65,2.26,1.66,2.18,0.93
195110,-4.93,-3.6,-2.43,-3.66,-1.66,2.52,-3.56,-2.39,-3,-0.59
195111,-0.21,1.1,0.4,0.06,1.29,0.83,2.01,2.08,0.06,-0.8
195112,5.51,1.6,2.55,5.38,3.69,5.46,2.29,3,1.14,1.95
195201,-1.98,4.55,3.39,1.16,0.63,4.96,3.02,-0.77,2.12,2.42
195202,-2.48,-2.66,-4.56,-3.73,-2.36,-5.06,-2.77,-0.36,-4.19,-2.74
195203,2.35,3.46,4.35,6.18,5.79,5.84,3.22,7.79,4.95,5.2
195204,-4.21,-4.7,-4.94,-6.77,-8.32,-6.02,-5.22,-3.33,-8.23,-6.9
195205,3.85,0.92,4.61,3.41,4.21,3.75,4.58,3.36,3.7,1.84
195206,3.47,1.79,6.07,5.07,5.22,4.91,2.46,5.81,6.31,4.91
195207,0.55,0.63,1.32,2.77,0.83,1.66,0.66,1.75,1.95,2.04
195208,-0.61,-0.01,2.45,-0.44,-1.02,-1.28,-1.18,-1.06,-0.48,-1.85
195209,-1.14,-1.45,-0.95,-0.92,-2.63,-2.05,-3.91,-2.65,-1.88,-2.2
195210,-0.73,-0.69,-1.12,0.16,0.93,-1.69,-0.57,-0.93,0.11,-0.67
195211,7.8,7.27,5.53,6.45,4.61,4.13,5.02,8.02,7.3,10.45
195212,1.68,2.37,1.3,3.66,3.99,5.43,3.41,1.12,2.75,4.66
195301,0.47,-1.73,0.98,0.68,-1.42,-2.23,-1.48,0.94,0.33,2.41
195302,-0.8,-0.13,-0.39,1.13,-0.23,-0.04,0.08,0.37,-1.55,0.46
195303,-0.15,0.6,-0.36,-1.28,-2.76,-2.69,-1.17,-3.63,-1.99,-2.36
195304,-2.62,-1.86,-2.03,-1.95,-3.01,-4.28,-2.7,-3.79,-1.03,-0.09
195305,0.5,1.73,0.81,-0.75,1,2.05,0.75,0.72,-0.01,-0.97
195306,-0.91,-2.41,-2.5,-1.45,-0.68,-2.16,-1.76,-3.57,-2.08,-2.89
195307,2.82,2.19,2.42,1.88,2.73,3.2,5,1.54,0.79,1.91
195308,-2.19,-1.71,-3.61,-4.66,-2.36,-4.7,-6.21,-7.25,-7.17,-6.93
195309,1.19,2.1,1.72,0.32,-0.12,0.79,-0.67,-1.64,0.66,0.91
195310,4.2,3.03,3.98,6.52,3.22,5.45,6.24,6.84,6.21,7.79
195311,4.85,2.36,3.98,1.63,2.3,4.58,2.15,2.03,3.66,1.72
195312,0.74,0.48,0.42,-0.8,0.57,1.28,1.31,0.92,0.53,-0.55
195401,2.36,2.69,4.64,5.17,6.26,6.34,8.1,6.86,7.59,10.02
195402,0.96,1.29,1.88,1.94,1.66,2.3,2.9,1.62,1.96,1.84
195403,5.31,2.23,3.53,3.96,1.47,4.8,4.77,4.52,6.87,4.86
195404,5.16,2.13,6.23,4.97,3.95,4.93,6.03,7.9,1.61,4.9
195405,4.25,1.47,-0.03,3.26,2.57,3.72,2.82,4.31,4.44,6.7
195406,2.7,1.87,4.49,2.4,-0.06,2.02,-3.86,-0.15,2.76,1.62
195407,1.25,3.64,6.08,3.75,6.29,8.43,4,4.4,8.81,13.21
195408,-2.81,-3.16,-1.3,-3.39,-3.85,-2.27,0.74,-1.8,-3.68,-4.31
195409,5.87,4.03,3.1,5.59,5.48,13.28,8.41,8.37,8.26,8.18
195410,-3.03,-2.7,-1.55,-2.47,-1.38,-1.27,-1.29,-2.38,3.11,0.67
195411,13.8,7.17,6.11,7.88,9.74,6.73,9.29,9.41,12.11,17.9
195412,3.39,2.42,3.18,4.13,4.81,5.51,6.17,9.89,11.29,10.55
195501,-1.31,1.16,-1.05,0.21,0.42,0.28,4.01,-1.54,2,6.75
195502,4.18,3.62,4.03,2.49,4.08,1.02,0.45,3.83,3.91,3.7
195503,0.5,-1.3,1.15,-1.59,1.22,-0.82,-0.09,0.63,-0.3,1.19
195504,6.82,3.04,0.81,2.45,4.61,3.09,2.14,1.22,2.17,3.91
195505,3.91,1.25,0.74,0.36,3.79,-0.47,-0.38,0.25,0.79,-0.48
195506,8.67,2.97,2.91,1.87,4.78,9.95,10.25,12.25,7.86,14.39
195507,-1.74,1.09,1.13,0.23,0.82,5.79,2.81,11.47,0.42,2.42
195508,1.78,1.7,-0.27,0.11,0.22,-1.1,1.13,-1.74,0.44,3.98
195509,-2.62,-0.68,0.97,-1.9,-2.49,-1.05,-0.13,5.84,1.97,-1.87
195510,-3.29,-2.77,-2.27,-2.54,-2.46,-0.99,-1.78,-3.93,-0.77,-1.76
195511,8.03,7.01,4.15,5.21,5.71,8.56,6.27,8.95,6.37,9.88
195512,3.1,0.46,2.65,1.91,2.42,2.13,2.35,-0.95,4.21,5.3
195601,-4.83,-4.09,-0.17,-2.71,-0.95,-0.94,-2.33,-4.18,-3.46,-5.35
195602,4.79,5.73,1.78,4.35,6.05,2.9,4.09,4.63,3.58,3.04
195603,7.6,5.69,6.25,5.31,6.16,11.77,8.94,5.3,6.28,6.23
195604,-0.93,-0.11,0.45,-0.09,0.27,1.42,2.61,-0.32,8.7,2.07
195605,-5.57,-5.11,-2.88,-2.56,-3.25,-5.55,-6.17,-6.31,-6.03,-6.72
195606,5.83,2.98,2.11,4.05,3.8,1.43,2.81,5.61,5.6,4.9
195607,3.97,5.34,4.63,4.41,7.11,7.4,4.17,8.46,9.97,5.3
195608,-4.44,-2.92,-2.4,-3.38,-4.75,-5.14,-0.75,-1.2,-0.66,3.27
195609,-7.52,-5.3,-4.65,-4.95,-5.44,-5.17,-3.07,-3.14,-1.74,-1.67
195610,1.51,0.67,-0.75,0.45,-0.37,2.55,-0.52,0.97,3.01,3.03
195611,-1.63,0.13,0.61,2.97,0.87,-0.87,-1.16,2.26,3.85,0.77
195612,4,3.61,1.72,4.09,3.28,8.47,2.42,4.66,4.38,4.78
195701,-5.14,-1.92,-0.14,-2.64,-1.25,-4.9,-5.82,-6.37,-8.53,-3.72
195702,-1.29,-0.91,-0.17,-1.15,-2.58,0.18,-2.67,-4.69,-5.1,-0.97
195703,3,2.92,1.3,3.24,3.06,1.88,0.91,1.92,2.23,2.63
195704,6.35,4.18,1.54,3.62,4.91,6.22,7.24,3.33,4.99,3.45
195705,4.75,3.04,2.39,6.7,4.21,5.06,2.21,1.14,2.59,1.37
195706,1.76,-1.74,-2.16,-1.07,-1.86,-1.58,-0.11,-0.06,1.49,-1.38
195707,1.11,-0.36,2.18,-0.34,0.84,1.76,0.63,-0.54,0.01,1.02
195708,-6.36,-4.88,-3.48,-3.02,-3.88,-4.57,-5.55,-3.28,-6.89,-6.19
195709,-6.61,-5.62,-5.84,-4.13,-5.52,-4.3,-4.7,-1.51,-5.66,-6.26
195710,-3.24,-3.01,-3.84,-3.34,-4.09,-2.72,-2.37,-3.72,-7.18,-5.87
195711,5.97,4.56,-0.52,3.68,2.56,3.03,1.54,3.87,1.33,-1.21
195712,-4.06,-1.34,-2.61,-1.78,-3.27,-3.8,-4.43,-2.87,-7.57,-7.41
195801,2.61,3.29,3.63,6.74,5.73,3.33,6.73,7.84,7.82,10.7
