,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,-2.34,-0.69,-0.12,-0.1,1.04,0.25,0.25,0.3,0.49,0.73
196308,5.4,6.9,5.34,5.36,5.64,5.3,4.54,4.51,6.05,7.72
196309,-0.83,-0.37,-3.21,-0.32,-2.76,-2.18,-0.26,-0.8,-1.15,-1.85
196310,2.91,2.37,1.41,0.66,0.95,1.61,2.41,4.41,8.41,4.38
196311,1.85,-0.62,-0.4,-1.53,-1.8,-1.11,1.77,-0.4,-4.39,-0.64
196312,2.19,2.26,1.83,3.82,1.84,2.38,1.43,3.86,1.13,1.06
196401,3.9,2.51,3.21,1.04,2.43,1.43,3.02,6.14,1.46,-2.11
196402,3.35,1.57,2.57,1.68,2.27,1.43,1.49,1.53,1.57,1.22
196403,2.41,4.63,5.88,3.3,2.63,1.14,-0.56,2.7,0.4,2.19
196404,-2.24,-3.02,-0.58,1.55,0.9,-0.13,1.56,-0.44,2.92,0.89
196405,1.96,1.3,0.8,1.35,2.12,-0.16,0.5,2.87,2.61,2.48
196406,-0.29,0.7,1.4,1.92,1.22,1.65,3.3,1.11,1.15,0.67
196407,3.03,2.26,4.61,1.74,2.47,1.85,2.85,1.79,0.34,0
196408,-0.98,-0.32,0.72,-0.79,-1.99,-0.75,-1.6,-0.87,-3.24,0.51
196409,4.38,1.54,2.86,4.31,2.56,1.92,3.53,2.97,2.23,5.67
196410,0.06,2.19,1.3,0.81,1.61,0,2.79,0.37,0.76,-0.73
196411,1.81,0.9,-0.61,-0.25,1.03,-0.82,2.48,0.82,0.46,0.12
196412,0.4,-1.42,-1.16,-1.46,0.31,2.72,-0.78,-0.85,0.23,1.76
196501,5.06,5.42,4.42,4.23,1.88,2.37,3.01,4.28,7.24,3.85
196502,-0.1,1.81,2.47,1.45,-1.18,0.31,-0.71,2.09,1.41,3.4
196503,-1.76,0.43,0.01,-1.23,-2.11,-0.95,-1.97,0.86,-1.12,-2.1
196504,2.27,3.35,1.83,2.35,1.07,4.59,2.82,2.94,5.07,6.88
196505,1.66,-0.54,-0.66,-0.27,-0.7,-0.43,-0.18,0.34,-0.18,-0.23
196506,-6.02,-6.42,-5.85,-4.77,-2.72,-4.74,-3.31,-6.53,-5.35,-7.01
196507,1.26,2.09,1.79,1.08,1.83,2.84,0.71,1.69,0.12,3.97
196508,2.49,3.59,2.34,1.54,2.8,3.3,2.57,3.42,4.18,4.99
196509,3.98,5.25,4.3,3.85,1.92,3.46,2.22,3.48,2.49,2.99
196510,3.93,3.53,1.88,4.27,2.67,1.26,1.38,3.26,2.77,4.29
196511,1.12,0.62,-1.2,-1.48,1.03,1.65,-2.65,0.09,5.59,1.77
196512,1.28,1.08,1.35,1.09,-0.57,1.75,1.41,1.38,2.46,-0.56
196601,1.43,4.78,-1.61,-0.15,0.47,1.97,-0.26,2.77,0.03,2.11
196602,-2.01,-0.62,-3.67,-2.37,-1.54,-2.52,-0.06,-1.51,0.86,3.2
196603,-3.93,-1.3,0.36,-3.51,-2.8,-2.75,-2.48,-2.15,-0.59,-0.62
196604,0.63,3.63,2.56,-0.22,2.64,2.1,2.82,2.38,3.31,5.31
196605,-5.59,-7.47,-5.54,-5.49,-5.21,-4.87,-4.41,-5.33,-4.43,-4.08
196606,-0.88,-0.44,0.47,-2.05,-2.24,-1.84,-0.69,-0.81,-0.24,-1.75
196607,-1.88,0.01,0.25,-0.72,-1.11,-0.06,-1.17,-2.16,-3.46,-3.33
196608,-9.37,-7.2,-6.54,-6.4,-7.51,-8.71,-6.91,-6.08,-6.66,-11.28
196609,-0.98,0.64,0.35,1.19,-0.19,0.24,0.18,-3.14,-4.42,-2.82
196610,0.56,5.14,8.61,8.31,6.81,2.39,3.25,1.39,-1.23,2.54
196611,2.69,-0.4,-2.66,-0.55,-1.12,2.01,2.54,2.89,5.4,10.7
196612,3.13,2.38,-0.44,1.19,-0.37,0.99,0.58,-0.25,1.89,-2.23
196701,11.47,8.47,5.08,5.9,7.46,7.99,8.76,9.83,11.2,10.56
196702,3.76,-1.15,-1.41,-0.04,-0.46,-0.3,3.28,1.05,1.84,3.16
196703,3.92,2.98,5.08,2.75,3.12,4.99,4.1,6.97,4.15,5.78
196704,2.15,2.4,0.79,1.9,3.95,1.31,7.3,6.79,5.79,7.25
196705,-0.51,-3.13,-2.02,-5.36,-3.14,-4.53,-5.28,-4.84,-3.17,-5.36
196706,4.19,1.79,1.56,2.4,0.84,1.39,1.87,2.26,5.58,4.22
196707,8.54,8.06,5.83,-1.59,5.77,8.74,4.36,3.87,4.57,4.64
196708,0.18,-0.13,-0.95,-1.06,-1.72,0.3,-0.13,-0.74,-0.77,-1.8
196709,2.17,3.44,3.57,1.96,1.64,2.82,4.75,4,5.4,3.02
196710,-4.94,-5.16,-4.46,-3.04,-4.32,-2.73,-2.52,-3.07,1.9,0.82
196711,-0.77,-0.76,-1,0.88,2.36,0.47,0.16,0.29,2.52,1.48
196712,5.12,3.15,3.73,2.69,2.9,1.8,3.5,3.29,3.03,3.53
196801,3.07,-2.56,0.33,0.28,-4.03,-4.08,-5.1,-4.64,-6.94,-9.86
196802,-4.05,-1.54,-2,-2.58,-2.66,-3.06,-3.06,-4.9,-3.56,-5.05
196803,-1.01,-1.07,-0.97,-0.15,0.51,0.83,1.04,-0.91,4.2,2.11
196804,11.57,8.13,5.16,5.31,8.04,8.15,10.9,11.15,11.23,13.44
196805,4.43,1.53,0.56,0.08,1.96,-0.77,2.85,4.26,4.66,4.78
196806,0.89,1.78,3.34,3.08,1.26,2.51,-0.38,-0.34,-0.07,-1.38
196807,-0.27,-1.95,-1.83,-1.51,-3.38,1.37,0.28,-4.39,-2.49,-7.16
196808,3.31,2.1,2.37,0.96,2.21,0.83,1.23,1.55,2.74,1.13
196809,7.67,6.3,5.25,4,2.17,2.52,5.68,2.71,4.38,5.47
196810,2.6,3.48,0.89,1.24,0.63,2.65,2.5,-3.04,0.95,-1.92
196811,4.36,0.96,6.9,6.08,5.62,6.56,6.52,7.91,4.49,9.03
196812,0.53,-2.82,-1.76,-4.79,-3.33,-4.28,-2.74,-5.37,-4.21,-3.07
196901,-0.76,-1.54,-0.34,0.73,0.6,0.68,-1.36,-1.99,-2.53,-2.82
196902,-6.53,-2.91,-6.2,-4.75,-5.26,-4.11,-5.56,-3.74,-4.96,-8.69
