,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,-1.14,0.75,1.47,-1.4,-1.23,0.61,-0.6,0.84,-0.13,0.95
196308,5.09,4.61,5.76,7.48,5.33,6.86,6.29,7.74,4.3,6.64
196309,-0.54,-3.18,-0.89,1.9,0.75,-3.44,-2.54,-2.83,0.42,-2.4
196310,1.86,3.8,8.8,0.33,6.57,4.5,3.66,3.98,1.99,1.74
196311,0.28,0.38,-4.99,-0.7,-1.27,-1.01,-0.53,1.8,2.81,-0.92
196312,1.33,4.62,1.74,-0.65,2.59,4.02,2.9,2.36,1.41,0.44
196401,3.03,5.73,1.71,2.64,4.3,0.82,2.46,-0.23,3.07,0.66
196402,2.6,1.42,0.71,3.52,3.12,0.31,1.6,1.49,0.17,1.27
196403,1.62,2.07,1.27,0.96,2.96,2.09,1.73,3.99,-1,2.81
196404,-0.43,1.61,3.28,0.3,-3.01,-1.32,-0.64,-0.87,2.07,-0.01
196405,0.58,1.77,3.29,1.97,2.87,0.34,0.14,3.96,-0.16,0.81
196406,0.73,0.86,1.51,2.09,1.29,0.1,0.94,1.54,4.45,0.13
196407,2.34,1.85,3.21,5.01,-0.68,-0.51,3.13,2.62,0.22,1.85
196408,-1.09,-1.35,-0.77,0.9,-3.11,-1.55,-1.15,-0.62,-0.33,-1.49
196409,3.69,3.72,3.42,3.91,0.82,0.77,3.72,3.59,5.37,3.21
196410,0.8,1.5,1.46,0.56,-2.04,-0.9,1.92,2.07,-0.9,1.53
196411,1.58,-0.39,2.78,-2.14,-0.45,-0.85,-0.08,1.09,-0.6,0.4
196412,1.09,-0.24,-0.35,2.17,-0.3,3.13,-1.31,-0.69,0.78,1.24
196501,4.3,5.14,2.74,3.32,7.85,1.26,6.38,5.17,4.64,5.12
196502,0.39,3.05,1.11,-1.01,1.87,1.21,0.94,0.65,2.41,2.41
196503,-2.39,-1.31,-2.31,0.57,-0.39,-0.71,0.34,-1.31,-2.33,-0.38
196504,1.36,4.55,6.13,6.29,5.1,3.47,3.85,3.65,3.34,2.96
196505,0.6,-0.06,-0.64,-3,-1.39,2.14,-1.79,0.44,1.13,0.09
196506,-4.91,-5.66,-4.07,-6.44,-4.7,-4.83,-4.88,-5.23,-6.01,-7.28
196507,0.81,2.88,0.24,0.22,3.51,3.9,2.85,1.04,0.19,1.66
196508,2.26,4.06,1.02,3,4.39,5.06,2.56,3.34,1.15,4.41
196509,2.51,2.1,5.3,1.87,6.9,2.81,5.25,4.11,1.21,3.1
196510,3.37,2.37,4.09,4.08,2.49,3.38,2.08,2.58,-0.37,3.93
196511,-0.97,0.62,-2.97,3.67,-0.1,2.1,1.39,2.84,-3,1.76
196512,2.12,1.32,0.97,-0.69,2.79,-1.49,1.43,3.12,-0.29,2.23
196601,0.34,2.92,-0.3,-0.88,0.67,2.18,0.77,2.06,-0.92,0.99
196602,-1.72,-2.11,-2.98,-0.27,-2.33,2.81,0.63,-2.1,-0.15,1.4
196603,-2.87,-1.75,-4.05,-0.76,-0.98,0.07,-2.84,-0.72,-3.95,-3.55
196604,0.97,3.05,0.56,1.38,4.73,5.38,2.56,1.68,1.57,3.87
196605,-3.97,-6,-6.21,-4.62,-6.46,-3.48,-6.48,-3.68,-3.26,-5.7
196606,-1.35,-2.05,-2.58,-1.61,0.22,-1.41,-2.22,-1.49,0.67,0.1
196607,-0.86,0.62,-4,-0.16,-2.63,-0.51,-1.72,-2.64,-2.53,-0.87
196608,-6.98,-7.91,-6.98,-6.61,-6.26,-9.44,-5.52,-10.63,-7.98,-8.62
196609,-5.25,1.35,-0.51,0.87,-3.2,-1.14,-1.59,0.69,-3.42,-3.84
196610,4.78,0.53,4.26,3.82,2.9,2.28,8.42,2.8,0.89,0.87
