,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,-1.44,-0.19,-1.02,2.19,-0.84,0.92,-0.72,-1.15,-0.31,0.98
196308,5.53,4.45,6,3.55,5.62,5.11,5.57,5.36,5.9,6.07
196309,-3.02,-1.65,-1.15,-2.59,2.21,-1.88,-2.48,-1.34,-2.48,-0.97
196310,0.77,0.85,0.97,-0.05,3.41,0.84,0.98,3.67,2.92,8.88
196311,0.18,-1.74,-1.81,-0.63,2.05,-0.63,-0.74,1.06,0.3,-3.73
196312,1.86,0.03,3.47,4.3,0.14,3.34,2.68,2.53,2.6,1.35
196401,1.9,2.75,2.13,5.16,3.31,0.87,0.73,2.08,2.21,3.31
196402,3.63,1.26,2.27,1.52,0.91,1.74,1.53,1.56,2.12,2.47
196403,2.65,3.05,4.03,2.24,0.07,0.74,2.27,1.17,2.16,2.04
196404,0.09,4.43,0.88,2.63,0.85,-0.68,0.79,-2.27,-0.56,0.92
196405,2.27,-0.19,2.87,1.96,0.88,0.48,1.28,0.09,1.53,3.39
196406,2.86,1.14,1.74,0.5,4.56,2.72,1.73,0.02,1.35,0.59
196407,0.67,2.35,1.94,2.24,-0.67,3.53,3.45,2.95,2.61,2.13
196408,-2.48,-0.84,-0.82,-1.92,-0.91,-0.09,-1.04,-0.93,-1.54,-1.06
196409,4.9,3.68,4.63,3.31,0.62,2.86,2.87,4.04,4.07,2.42
196410,0.84,3.65,0.99,2.65,0.08,-0.01,2.18,1.54,0.12,-0.61
196411,-3.65,1.5,0.91,1.12,-0.98,0.4,1.58,0.7,2.4,-0.97
196412,-1.03,-0.76,-0.6,-1.44,2.3,0.69,0.26,0.47,1.27,0.89
196501,7.6,4.1,3.82,-0.26,1.06,3.89,5.09,4.82,4.83,6.15
196502,1.37,2.95,-0.24,-2.52,1.18,1.53,1.46,1.14,0.17,1.54
196503,-1.05,-1.59,0.02,-2.69,-1.34,-0.3,0.14,-0.79,-2.3,-0.67
196504,4.15,3.93,2.47,1.51,4.53,1.71,2.74,3.51,3.18,5.48
196505,-4.36,0.93,1.86,-0.1,1.07,-0.48,-0.66,-1.49,0.61,-1.26
196506,-7.96,-7.23,-4.91,-2.44,-4.36,-4.84,-5,-5.21,-4.68,-5.99
196507,4.44,4.99,2.62,-0.33,0.79,2.58,1.26,0.21,1.77,2.18
196508,4.05,0.84,2.19,2.29,0.73,2.64,2.59,2.36,6.8,3.77
196509,3.49,4.35,4.17,0.68,3.46,4.1,2.82,3.19,3.84,4.24
196510,4.13,3.24,2.13,-0.02,2.4,1.17,2.53,2.94,6.39,4.29
196511,3.22,1.98,0.51,-2.28,0.13,-0.82,0.61,1.56,1.9,-0.25
196512,7.71,0.83,1.43,0.37,2.38,1.09,1.45,0.63,1.97,-0.06
196601,7.27,3.22,3.17,-1.71,0.59,-1.41,0.12,0.72,2.18,0.97
196602,4.6,-2.8,-1.8,0.12,-2.07,-3.87,-1.97,-0.8,0.09,-0.38
196603,-4.27,-3.02,-2.92,-3.77,-2.5,-1.13,-2.32,-0.92,0.03,-1.62
196604,2.23,2.1,2.54,1.35,2.75,3.64,1.74,3.56,4.2,0.95
196605,-10.44,-6.12,-6.09,-4.04,-5.64,-4.78,-3.31,-6.37,-5.06,-4.3
196606,0.99,-1.32,-1.63,-0.33,-2.36,0.81,-1.08,-2.06,-1.02,-1.7
196607,-2.41,-0.99,-0.94,-1.66,-0.57,-0.66,-1.59,-0.13,-2.27,-1.34
196608,-11.19,-7.32,-6.05,-5.95,-8.77,-6.1,-6.52,-7.79,-8.61,-8.09
196609,-1.94,-0.86,1.9,-1.79,1.62,1.57,-2.6,-1.52,-1.43,-1.72
196610,0.15,4.18,9.38,6.13,7.28,5.68,2.47,2.79,2.76,1.33
