,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,0.33,0.95,-1.17,-1.64,-0.07,-1.45,0.93,-2.32,-1.25,-1.48
196308,4.26,6.21,6.26,6.91,5.77,5.29,6.48,6.63,10.25,5.26
196309,-0.32,-2.24,-2.01,-1.52,-1.67,-2.51,-3.66,-0.38,-2.54,-2.18
196310,4.11,0.86,1.86,2.85,1.57,2.06,1.92,3.69,4.57,1.36
196311,-0.08,-0.85,-0.74,-1.72,-0.85,0.39,-0.85,-0.93,-0.23,-2.26
196312,1.51,4.6,1.37,1.2,1.76,1.21,1.97,1.06,-0.24,-0.17
196401,3.7,2.91,0.92,2.34,1.46,2.49,1.64,4.04,-0.57,-1.41
196402,1.11,1.92,1.31,2.86,2.13,1.5,5.54,4.69,2.6,1.4
196403,0.84,1.69,2.88,1.71,2.54,2.04,3.25,2.71,0.92,2.26
196404,1.4,1.17,-0.99,0.64,-0.11,-0.79,-1.68,-3.63,-2.7,0.12
196405,1.88,1.12,0.52,2.45,0.9,0.7,0.86,1.68,5.98,1.77
196406,1.8,1.17,1.8,2,2.32,1.29,1.42,1.47,0.59,-1.66
196407,1.61,3.08,2.74,3.39,1.93,0.65,1.41,2.99,-1.26,1.44
196408,-1.28,-1.09,-1.4,-0.46,-0.41,-0.81,-0.25,-2.08,-2.36,-1.19
196409,2.58,2.53,1.58,2.83,3.14,4.59,5.56,5.73,6.7,5.11
196410,0.91,-0.16,1.92,1.2,1.38,0.98,2.46,1.02,-1.64,-0.62
196411,0.46,0.63,-0.13,-0.14,1.04,0.61,2.26,-2.06,-2.87,-2.71
196412,1.03,-0.05,0.13,-0.63,-0.4,0.81,-0.5,-0.33,0.47,-1.85
196501,2.03,5.68,4.45,4.54,4.5,5.65,3.16,5.48,4.95,9.92
196502,-0.86,0.4,1.46,2.67,2.46,2.01,3.31,3.07,5.21,4.34
196503,-1.35,-0.47,-0.82,-1.24,-0.59,-0.71,-0.48,-1.33,0.96,0.37
196504,3.78,1.58,1.92,3.91,3.34,4.69,5.94,5.67,2.84,3.45
196505,-0.33,-0.99,0.59,-0.26,-0.05,-0.56,-0.48,-2.19,-0.09,-2.35
