,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,0.38,0.21,0.3,-1.31,-1,-1.19,0.88,-2.29,-1.85,-1.6
196308,4.18,5.23,5.35,7.08,5.8,6.13,6.31,6.66,9.26,6.38
196309,-0.52,-1.36,-0.88,-1.41,-2.06,-3.25,-3.03,-2.02,-0.59,-2.43
196310,1.33,5.57,1.75,2.91,2.49,2.23,2.02,3,6.78,0.77
196311,1.45,-0.2,-1.03,-1.42,-4.46,-0.47,0.29,-0.44,0.87,-3.57
196312,2.65,3.21,3.55,3.27,3.01,0.37,0.25,-0.68,2.47,-0.84
196401,1.21,2.73,4.21,3.05,1.67,2.85,1.95,2.16,0.07,1.38
196402,0.72,2.54,2.51,1.14,0.78,3.52,2.95,2.88,1.69,2.3
196403,0.87,1.38,2.12,3.25,2.64,1.04,3.25,2.95,2.92,1.36
196404,1.61,0.55,1.53,-1.91,-0.06,-0.53,-1.94,-3.62,-2.76,0.06
196405,1.83,1.66,0.57,1.8,1.1,1.2,-0.36,1.69,6.33,1.75
196406,1.83,1.46,1.88,1.46,2.5,1.01,1.35,0.9,0.81,-1.49
196407,1.28,1.84,4.29,2.12,3.34,-0.34,1.6,0.81,0.61,1.11
196408,-2.08,0.22,-1.36,-0.35,-0.34,-1.55,-0.71,-1.33,-1.94,-1.75
196409,2.22,2.76,2.75,2.17,3.26,4.28,5.3,5.32,7.5,5.52
196410,0.54,2.41,2.31,-0.81,1.55,1.8,-0.11,3.04,-1.4,-0.61
196411,1.23,-0.38,1.39,-1.28,-0.96,0.75,1.55,-1.24,-1.12,-4.54
196412,0.74,1.06,0.27,-1.28,-0.11,0.75,-0.53,-0.36,-0.16,-0.75
196501,1.46,5.14,4.55,4.24,4.75,4.78,3.84,5.42,4.56,9.71
196502,-0.88,-0.56,1.6,1.77,1.99,3.15,2.58,3.73,5.74,4.37
196503,-1.47,-0.61,-0.67,-1.04,-1.28,-0.76,-0.07,-1.32,1.24,0.02
196504,3.21,3.19,2.55,3.11,4.43,4.29,5.45,5.53,3.89,3.57
196505,0.02,-0.85,-0.14,-0.87,0.29,-0.06,-1.47,0.16,-0.48,-2.23
196506,-3.18,-4.94,-4.11,-5.77,-6.43,-7.05,-8.31,-7.57,-10.67,-12.77
196507,0.44,2.21,0.62,1.26,2.44,2.1,3.88,2.81,6.72,3.75
196508,1.05,2.95,1.08,5.34,3.79,5.62,5.92,6.02,8.97,7.3
196509,2.6,2.51,2.8,3.22,4.95,4.13,4.83,3.75,5.72,4.15
196510,1.45,1.56,2.16,3.37,4.36,5.36,5.68,6.03,9.06,7.54
196511,-2.36,0.29,0.55,-0.76,1.12,5.8,2.78,5.8,6.04,10.14
196512,-0.94,0.9,3.09,1.26,1.81,3.42,4.06,5.3,3.11,3.73
196601,-1.07,-0.14,1.11,0.75,1.98,5.7,4.74,8.2,4.32,6.9
196602,-2.82,-0.74,-2.83,-1.58,0.06,2.48,1.36,3.82,5.42,6.56
196603,-3.26,-1.56,-1.32,-1.72,-2.13,-1.31,0.25,-1.55,-2.5,-1.56
196604,1.36,2.88,0.4,3.07,2.09,3.85,5.09,7.09,3.95,5.77
196605,-4.12,-3.54,-4.03,-4.81,-3.78,-6.79,-8.63,-8.55,-10.46,-13.86
196606,-2.32,-2,-0.67,-1.41,-1.13,-0.01,-0.45,0.33,1.19,4.22
196607,-0.73,0.05,-0.66,-2.86,-0.68,-0.54,-3.56,-3.8,-1.53,-1.81
196608,-5.97,-6.52,-7.58,-7.41,-6.87,-8.03,-8.61,-12.7,-11.27,-9.03
196609,2.47,-1.05,-0.5,-0.13,-0.73,-1.21,-1.73,-1.43,-4.33,-6.45
196610,7.37,3.98,6.69,4.65,5.65,4.85,4.57,3.46,-4.55,-9.45
196611,-0.72,-1.82,-3.42,3.43,-0.36,4.26,3.93,4.42,13.72,19.7
196612,-1.21,2.41,-0.87,0.97,2.14,-0.53,0.67,3.29,2.29,-0.5
196701,7.69,6.41,7.47,6.03,9.21,8.57,12.29,12.75,15.19,21.51
196702,-0.02,2.22,-0.67,1.28,1.53,1.4,2.87,0.02,3.08,6.3
196703,2.95,3.86,5.78,3.24,6.46,5.03,6.75,6.45,4.08,5.98
196704,0.68,7.5,2.9,3.6,4.61,7.22,6.13,5.49,5.94,4.02
196705,-3.19,-5.18,-4.4,-4.06,-4.52,-4.15,-2.94,-2.28,-3.84,-2.05
196706,1.69,1.33,1.04,1.33,4.93,2.37,5.94,6.6,8.42,12.52
196707,-0.06,4.73,5.66,7.11,4.92,5.18,8.39,7.25,7.98,9.09
196708,-1.3,-0.53,0.21,-0.85,-0.38,0.16,0.06,-1.78,-2.25,-1.66
196709,4.17,2.07,3.47,3.24,3.25,2.77,3.74,3.97,3.62,6.93
196710,-2.15,-0.88,-4.33,-5.22,-4.92,-4.54,-1.17,-1.57,-0.28,-3.18
196711,0.64,1.61,-0.61,-0.07,0.15,0.52,2.22,1.86,1.07,0.09
